,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,tokens,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,change_type,commit,Revision,datetime
0,CodeBlock9,87,102,ArUtils.java,"['    public static int getLongBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']","{'public': 1, 'static': 1, 'int': 5, 'getLongBytes': 1, 'long': 1, 'TOKEN_VARIABLE': 26, 'byte': 3, 'String': 1, 'toString': 1, 'length': 1, 'for': 1, 'INTEGER_LITERAL': 8, 'charAt': 1, 'while': 1, 'STRING_LITERAL': 1, 'return': 1}",CodeBlock10,ArUtils.java,0.9285714285714286,1.0,1.0,76,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
1,CodeBlock9,87,102,ArUtils.java,"['    public static int getLongBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']","{'public': 1, 'static': 1, 'int': 5, 'getLongBytes': 1, 'long': 1, 'TOKEN_VARIABLE': 26, 'byte': 3, 'String': 1, 'toString': 1, 'length': 1, 'for': 1, 'INTEGER_LITERAL': 8, 'charAt': 1, 'while': 1, 'STRING_LITERAL': 1, 'return': 1}",CodeBlock11,ArUtils.java,0.9285714285714286,1.0,1.0,76,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
2,CodeBlock10,113,128,ArUtils.java,"['    public static int getIntegerBytes(int value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Integer.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']","{'public': 1, 'static': 1, 'int': 6, 'getIntegerBytes': 1, 'TOKEN_VARIABLE': 26, 'byte': 3, 'String': 1, 'toString': 1, 'length': 1, 'for': 1, 'INTEGER_LITERAL': 8, 'charAt': 1, 'while': 1, 'STRING_LITERAL': 1, 'return': 1}",CodeBlock9,ArUtils.java,0.9285714285714286,1.0,1.0,76,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
3,CodeBlock10,113,128,ArUtils.java,"['    public static int getIntegerBytes(int value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Integer.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']","{'public': 1, 'static': 1, 'int': 6, 'getIntegerBytes': 1, 'TOKEN_VARIABLE': 26, 'byte': 3, 'String': 1, 'toString': 1, 'length': 1, 'for': 1, 'INTEGER_LITERAL': 8, 'charAt': 1, 'while': 1, 'STRING_LITERAL': 1, 'return': 1}",CodeBlock11,ArUtils.java,0.8947368421052632,1.0,1.0,76,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
4,CodeBlock11,139,154,ArUtils.java,"['    public static int getOctalBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toOctalString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']","{'public': 1, 'static': 1, 'int': 5, 'getOctalBytes': 1, 'long': 1, 'TOKEN_VARIABLE': 26, 'byte': 3, 'String': 1, 'toOctalString': 1, 'length': 1, 'for': 1, 'INTEGER_LITERAL': 8, 'charAt': 1, 'while': 1, 'STRING_LITERAL': 1, 'return': 1}",CodeBlock9,ArUtils.java,0.9285714285714286,1.0,1.0,76,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
5,CodeBlock11,139,154,ArUtils.java,"['    public static int getOctalBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toOctalString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']","{'public': 1, 'static': 1, 'int': 5, 'getOctalBytes': 1, 'long': 1, 'TOKEN_VARIABLE': 26, 'byte': 3, 'String': 1, 'toOctalString': 1, 'length': 1, 'for': 1, 'INTEGER_LITERAL': 8, 'charAt': 1, 'while': 1, 'STRING_LITERAL': 1, 'return': 1}",CodeBlock10,ArUtils.java,0.8947368421052632,1.0,1.0,76,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
6,CodeBlock16,22,31,Progress.java,"['public void setMaximum(int max);', '', 'public void advance(int value);', '', 'public void done();', '', 'public void message(String message);', 'public void error(String message);', '}', '']","{'public': 5, 'void': 5, 'setMaximum': 1, 'int': 2, 'TOKEN_VARIABLE': 4, 'advance': 1, 'done': 1, 'message': 1, 'String': 2, 'error': 1}",CodeBlock17,Progress.java,0.782608695652174,1.0,0.6666666666666666,9,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
7,CodeBlock17,24,31,Progress.java,"['public void advance(int value);', '', 'public void done();', '', 'public void message(String message);', 'public void error(String message);', '}', '']","{'public': 4, 'void': 4, 'advance': 1, 'int': 1, 'TOKEN_VARIABLE': 3, 'done': 1, 'message': 1, 'String': 2, 'error': 1}",CodeBlock16,Progress.java,0.782608695652174,1.0,0.6666666666666666,9,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
8,CodeBlock19,48,54,JavaProperty.java,"['public String getName() {', '', 'if (this.name == null) { ', 'return null; } ', '', 'return this.name.trim();', '}']","{'public': 1, 'String': 1, 'getName': 1, 'if': 1, 'TOKEN_VARIABLE': 3, 'return': 2, 'trim': 1}",CodeBlock20,JavaProperty.java,0.8181818181818182,1.0,1.0,23,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
9,CodeBlock20,72,78,JavaProperty.java,"['public String getValue() {', '', 'if (this.value == null) { ', 'return null; } ', '', 'return this.value.trim();', '}']","{'public': 1, 'String': 1, 'getValue': 1, 'if': 1, 'TOKEN_VARIABLE': 3, 'return': 2, 'trim': 1}",CodeBlock19,JavaProperty.java,0.8181818181818182,1.0,1.0,23,ModificationType.ADD,b5a523f87afca3491f9137bc775277ef96cba982,1,2022-10-18 01:55:14.574919
