,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,Revision,datetime
0,CodeBlock4,279,284,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\Ar.java,"['    protected boolean archiveIsUpToDate(String[] files, File dir) {', '        SourceFileScanner sfs = new SourceFileScanner(this);', '        MergingMapper mm = new MergingMapper();', '        mm.setTo(destFile.getAbsolutePath());', '        return sfs.restrict(files, dir, null, mm).length == 0;', '    }']",CodeBlock28,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\deb\Deb.java,0.9259259259259259,1.0,1.0,4,1,2022-09-15 15:53:54.347490
1,CodeBlock18,38,51,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static StringBuffer parseName(byte[] header, int offset, int length) {', '        StringBuffer result = new StringBuffer(length);', '        int          end = offset + length;', '', '        for (int i=offset ; i<end ; i++) {', ""            if (header[i] == ' ') {"", '                break;', '            }', '', '            result.append((char) header[i]);', '        }', '', '        return result;', '    }']",CodeBlock208,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\installer\TarHeader.java,0.9069767441860465,0.8571428571428571,1.0,4,1,2022-09-15 15:53:54.347490
2,CodeBlock20,87,102,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static int getLongBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']",CodeBlock21,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,0.9285714285714286,1.0,1.0,4,1,2022-09-15 15:53:54.347490
3,CodeBlock20,87,102,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static int getLongBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']",CodeBlock22,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,0.9285714285714286,1.0,1.0,4,1,2022-09-15 15:53:54.347490
4,CodeBlock21,113,128,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static int getIntegerBytes(int value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Integer.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']",CodeBlock20,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,0.9285714285714286,1.0,1.0,4,1,2022-09-15 15:53:54.347490
5,CodeBlock21,113,128,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static int getIntegerBytes(int value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Integer.toString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']",CodeBlock22,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,0.8947368421052632,1.0,1.0,4,1,2022-09-15 15:53:54.347490
6,CodeBlock22,139,154,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static int getOctalBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toOctalString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']",CodeBlock20,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,0.9285714285714286,1.0,1.0,4,1,2022-09-15 15:53:54.347490
7,CodeBlock22,139,154,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,"['    public static int getOctalBytes(long value, byte[] buf, int offset, int length) {', '        int i;', '        String tmp = Long.toOctalString(value);', '        int c = tmp.length();', '', '        for (i=0 ; i<length && i<c ; i++) {', '            buf[offset+i] = (byte) tmp.charAt(i);', '        }', '', '        while (i<length) {', ""            buf[offset+i] = (byte) ' ';"", '            i++;', '        }', '', '        return offset + length;', '    }']",CodeBlock21,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\ArUtils.java,0.8947368421052632,1.0,1.0,4,1,2022-09-15 15:53:54.347490
8,CodeBlock28,336,341,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\deb\Deb.java,"['    protected boolean packageIsUpToDate(String[] files, File dir) {', '        SourceFileScanner sfs = new SourceFileScanner(this);', '        MergingMapper mm = new MergingMapper();', '        mm.setTo(destFile.getAbsolutePath());', '        return sfs.restrict(files, dir, null, mm).length == 0;', '    }']",CodeBlock4,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\de\masters_of_disaster\ant\tasks\ar\Ar.java,0.9259259259259259,1.0,1.0,4,1,2022-09-15 15:53:54.347490
9,CodeBlock47,664,669,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\installer\CBZip2InputStream.java,"['    private void bsSetStream( final InputStream input )', '    {', '        m_input = input;', '        m_bsLive = 0;', '        m_bsBuff = 0;', '    }']",CodeBlock70,C:/Users/soujanya basangari/Documents/Theses final code/jEdit-master/jEdit-master\installer\CBZip2OutputStream.java,0.9166666666666666,1.0,1.0,4,1,2022-09-15 15:53:54.347490
